epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2820.14,1.22707,2.06899,1.21884,1.29474,0,0.53071,0.65546,0.57594,0.31167,0.51885,0.6401,0.57008,0.27735,1.68709,2.62292,1.52983,1.68719,0,0.000523148,0.000523148,0.000523148
29,2883.76,1.21662,2.05472,1.19758,1.2935,0,0.61162,0.645,0.6658,0.38053,0.61838,0.65197,0.66722,0.32705,1.61716,2.57416,1.50172,1.64533,0,0.000516079,0.000516079,0.000516079
30,2948.15,1.21023,2.03202,1.18704,1.28701,0,0.68179,0.63862,0.67585,0.36408,0.63529,0.65735,0.66789,0.32041,1.60156,2.58538,1.46418,1.66383,0,0.000509011,0.000509011,0.000509011
31,3012.2,1.19781,2.02845,1.15992,1.27895,0,0.62962,0.64515,0.67548,0.37549,0.67119,0.62111,0.67824,0.32251,1.62149,2.52127,1.50816,1.64202,0,0.000501942,0.000501942,0.000501942
32,3075.71,1.17566,1.98641,1.1326,1.2632,0,0.5993,0.64029,0.65432,0.36226,0.59331,0.64727,0.65246,0.30801,1.61451,2.56257,1.49129,1.63503,0,0.000494873,0.000494873,0.000494873
33,3139.01,1.19071,1.99491,1.1359,1.27391,0,0.68319,0.61359,0.65434,0.3658,0.68256,0.61268,0.65167,0.30975,1.60937,2.53391,1.48561,1.64829,0,0.000487805,0.000487805,0.000487805
34,3205.9,1.15574,1.95033,1.08024,1.24907,0,0.62615,0.66439,0.61566,0.35333,0.62567,0.66681,0.61125,0.31638,1.60059,2.57651,1.48075,1.6466,0,0.000480736,0.000480736,0.000480736
35,3269.83,1.14263,1.95101,1.06543,1.24212,0,0.68696,0.66894,0.69054,0.38707,0.69865,0.68079,0.69236,0.3624,1.57621,2.56144,1.46423,1.60116,0,0.000473668,0.000473668,0.000473668
36,3332.99,1.14199,1.93224,1.0443,1.23642,0,0.71572,0.62893,0.67332,0.35848,0.69983,0.63135,0.66653,0.33143,1.59921,2.55756,1.46142,1.62489,0,0.000466599,0.000466599,0.000466599
37,3396.05,1.11239,1.8937,1.02822,1.22498,0,0.7185,0.63491,0.66646,0.34832,0.73135,0.64734,0.68052,0.31597,1.62302,2.57068,1.53015,1.67852,0,0.00045953,0.00045953,0.00045953
38,3459.32,1.11638,1.91135,1.029,1.22407,0,0.70797,0.59169,0.66991,0.36793,0.69999,0.58609,0.65546,0.31695,1.61956,2.52785,1.46426,1.65489,0,0.000452462,0.000452462,0.000452462
39,3522.82,1.11842,1.88375,1.01077,1.21705,0,0.68041,0.61647,0.67568,0.36697,0.68732,0.62029,0.66931,0.32238,1.61314,2.54737,1.45727,1.67362,0,0.000445393,0.000445393,0.000445393
40,3586.17,1.08208,1.86831,0.99877,1.20382,0,0.63938,0.67545,0.67593,0.38062,0.6376,0.67567,0.6723,0.34011,1.58952,2.61209,1.52132,1.6436,0,0.000438325,0.000438325,0.000438325
41,3649.49,1.08833,1.86733,0.9713,1.20238,0,0.6454,0.67641,0.67894,0.37285,0.64222,0.66893,0.66703,0.33093,1.61464,2.61637,1.49361,1.66189,0,0.000431256,0.000431256,0.000431256
42,3712.52,1.08177,1.82608,0.95527,1.19671,0,0.66375,0.68024,0.68013,0.37451,0.66832,0.68382,0.67572,0.34267,1.5831,2.57372,1.49903,1.62488,0,0.000424187,0.000424187,0.000424187
43,3775.68,1.06678,1.80778,0.94521,1.18854,0,0.6346,0.6897,0.68892,0.3897,0.69966,0.64056,0.6929,0.34765,1.60085,2.60074,1.44401,1.62494,0,0.000417119,0.000417119,0.000417119
44,3839.04,1.06249,1.82481,0.93276,1.18658,0,0.65144,0.68702,0.67972,0.36469,0.66294,0.69968,0.68741,0.32607,1.62245,2.56454,1.44851,1.64449,0,0.00041005,0.00041005,0.00041005
45,3901.86,1.0582,1.80625,0.93486,1.18376,0,0.72791,0.60168,0.68184,0.38458,0.75035,0.61155,0.68721,0.33791,1.60115,2.67291,1.46164,1.65493,0,0.000402982,0.000402982,0.000402982
46,3964.94,1.04378,1.79366,0.8977,1.16851,0,0.60395,0.6524,0.66155,0.34637,0.60737,0.65954,0.66324,0.31729,1.64854,2.58283,1.49371,1.68534,0,0.000395913,0.000395913,0.000395913
47,4028.43,1.03721,1.76326,0.88575,1.16303,0,0.64415,0.65567,0.62373,0.36149,0.65636,0.66231,0.63085,0.31995,1.60792,2.67417,1.46206,1.66998,0,0.000388844,0.000388844,0.000388844
48,4091.43,1.02796,1.76699,0.88941,1.16005,0,0.6262,0.69739,0.62793,0.35857,0.63802,0.70732,0.63965,0.32362,1.59312,2.71322,1.45909,1.6355,0,0.000381776,0.000381776,0.000381776
49,4154.54,1.02531,1.73724,0.87242,1.15788,0,0.60922,0.72318,0.64184,0.36524,0.60997,0.72182,0.64637,0.32131,1.60707,2.63195,1.48018,1.66393,0,0.000374707,0.000374707,0.000374707
50,4217.78,1.00664,1.73578,0.86392,1.14955,0,0.62829,0.68922,0.69366,0.38729,0.62748,0.69467,0.69778,0.34715,1.59823,2.64974,1.44736,1.65764,0,0.000367639,0.000367639,0.000367639
51,4280.95,1.00275,1.70543,0.85103,1.14429,0,0.69539,0.61314,0.66917,0.38064,0.69272,0.62786,0.68317,0.34239,1.60782,2.59663,1.494,1.65805,0,0.00036057,0.00036057,0.00036057
52,4344.62,0.99979,1.70072,0.84018,1.14348,0,0.70382,0.64648,0.69328,0.38511,0.71484,0.64972,0.68747,0.32965,1.60526,2.6533,1.46394,1.64527,0,0.000353501,0.000353501,0.000353501
53,4408.03,0.98126,1.68414,0.82897,1.13469,0,0.70066,0.61751,0.68709,0.38838,0.71439,0.62915,0.69242,0.34279,1.59629,2.72896,1.49095,1.64115,0,0.000346433,0.000346433,0.000346433
54,4471.17,0.9851,1.67759,0.80993,1.13137,0,0.69297,0.62038,0.6817,0.38612,0.68388,0.61245,0.67857,0.34228,1.61529,2.69775,1.48082,1.65226,0,0.000339364,0.000339364,0.000339364
55,4534.36,0.97049,1.67247,0.80305,1.11966,0,0.58332,0.71513,0.69841,0.38507,0.57349,0.70354,0.6791,0.34861,1.60151,2.66885,1.4715,1.64526,0,0.000332296,0.000332296,0.000332296
56,4597.58,0.96327,1.65995,0.80272,1.12428,0,0.71975,0.65073,0.68598,0.37094,0.73963,0.64473,0.68735,0.34487,1.59614,2.69672,1.42246,1.67769,0,0.000325227,0.000325227,0.000325227
57,4660.88,0.95629,1.65192,0.79626,1.12141,0,0.60327,0.6707,0.6058,0.3557,0.59811,0.66531,0.59531,0.31299,1.55143,2.70807,1.47972,1.62153,0,0.000318158,0.000318158,0.000318158
58,4724.52,0.94576,1.64618,0.78234,1.11648,0,0.72359,0.61836,0.68431,0.38772,0.72189,0.62428,0.68143,0.34599,1.57517,2.67817,1.43866,1.63014,0,0.00031109,0.00031109,0.00031109
59,4787.95,0.95034,1.63889,0.78395,1.11764,0,0.6536,0.70183,0.64642,0.35887,0.64721,0.69477,0.63352,0.33145,1.58271,2.74669,1.45628,1.6377,0,0.000304021,0.000304021,0.000304021
60,4850.96,0.92868,1.60227,0.74872,1.10261,0,0.70486,0.65156,0.67994,0.35669,0.69254,0.64175,0.65736,0.32909,1.61515,2.73682,1.51389,1.67994,0,0.000296953,0.000296953,0.000296953
61,4914.19,0.9251,1.59369,0.74413,1.09607,0,0.70929,0.62755,0.68012,0.38169,0.70578,0.62127,0.66813,0.33202,1.59535,2.75608,1.51963,1.66184,0,0.000289884,0.000289884,0.000289884
62,4976.95,0.92188,1.59847,0.75468,1.09834,0,0.67402,0.6679,0.68351,0.38004,0.67687,0.66767,0.67924,0.34448,1.59837,2.75434,1.4512,1.65788,0,0.000282815,0.000282815,0.000282815
63,5040.07,0.90669,1.58101,0.7345,1.093,0,0.65206,0.6402,0.67873,0.38583,0.69969,0.6164,0.68147,0.34919,1.60988,2.74784,1.46521,1.69836,0,0.000275747,0.000275747,0.000275747
64,5102.99,0.90495,1.58735,0.72617,1.08835,0,0.69223,0.59899,0.66952,0.37662,0.68599,0.60774,0.65933,0.33704,1.62734,2.74712,1.47385,1.70369,0,0.000268678,0.000268678,0.000268678
65,5165.96,0.90244,1.56309,0.73051,1.08803,0,0.66087,0.62737,0.61643,0.36528,0.6661,0.63422,0.62178,0.33053,1.5872,2.74515,1.52433,1.6803,0,0.00026161,0.00026161,0.00026161
66,5229.26,0.89681,1.54674,0.73117,1.08567,0,0.59693,0.67483,0.60452,0.3594,0.5988,0.67619,0.60522,0.329,1.60703,2.73627,1.48873,1.69361,0,0.000254541,0.000254541,0.000254541
67,5292.69,0.88892,1.55297,0.71258,1.08135,0,0.70439,0.62912,0.664,0.38079,0.703,0.62711,0.66876,0.34243,1.59876,2.70694,1.49744,1.67906,0,0.000247472,0.000247472,0.000247472
68,5355.98,0.87792,1.53141,0.69816,1.07464,0,0.55276,0.70938,0.60637,0.36607,0.55122,0.70704,0.6037,0.33236,1.59252,2.7723,1.42547,1.66728,0,0.000240404,0.000240404,0.000240404
69,5419.37,0.86935,1.53017,0.68494,1.07667,0,0.68012,0.67147,0.68602,0.39896,0.73109,0.62459,0.6827,0.35356,1.59636,2.79237,1.46389,1.68577,0,0.000233335,0.000233335,0.000233335
